Article ID,User ID,User Name,Arm,disease,prior-treatment,int_treatment,int_biomarker,int_biomarker_modifier,int_biomarker_positive,comp_treatment,comp_biomarker,comp_biomarker_modifier,comp_biomarker_positive,int_num_patients,comp_num_patients,outcome_type,outcome_value,confidence_interval,CI_percent,model_type,figure_table_section,median_duration_months
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,background,NA,NA,AAP + placebo,background,NA,NA,71,71,rPFS|||RECIST1.1,0.65,0.44-0.97,95,uni-cox,fig 2A,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,positive,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,positive,11,10,rPFS|||RECIST1.1,0.74,0.26-2.12,95,uni-cox,fig 2B,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",normal,positive,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",normal,positive,15,20,rPFS|||RECIST1.1,0.52,0.24-1.15,95,uni-cox,fig 2C,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",partially characterized,positive,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",partially characterized,positive,45,41,rPFS|||RECIST1.1,0.67,0.4-1.13,95,uni-cox,fig 2D,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,background,NA,NA,AAP + placebo,background,NA,NA,71,71,second rPFS,0.79,0.51-1.21,95,uni-cox,fig 3A,0-30
11781741,139,tom,AvsB,mcrpc,prior-docetaxel,AAP + olaparib,background,NA,NA,AAP + placebo,background,NA,NA,71,71,OS,0.91,0.6-1.38,95,uni-cox,fig 3B,0-30
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ZFHX3,altered,positive,AAP or AAP + veliparib,ZFHX3,altered,negative,6,74,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.74,0.74-4.09,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,ETS,fusion,positive,AAP or AAP + veliparib,ETS,fusion,negative,41,39,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.19,0.73-1.95,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,AR,amplified|||mutated,positive,AAP or AAP + veliparib,AR,amplified|||mutated,negative,41,39,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,1.41,0.86-2.31,95,uni-cox,table 4,0-42
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,CHD1,altered,positive,AAP or AAP + veliparib,CHD1,altered,negative,4,76,PSA PFS|||RECIST1.1|||rPFS|||pain PFS,0.39,0.09-1.71,95,multi-cox,table 4,0-42
