Article ID,User ID,User Name,Arm,disease,pop_modifier,treatment,int_biomarker,int_bm_mod,bm_positive,num_patients,outcome_type,outcome_units,outcome_value,outcome_range,confidence_interval,table/figure/section,max-duration
11781739,139,tom,single,mCRPC,"prior-taxane,prior-AR-directed-therapy",rucaparib,"BRCA1,BRCA2",altered,positive,115,rPFS,months,9,8.3-13.5,95,Figure 3,31.5
11781739,139,tom,single,mCRPC,"prior-taxane,prior-AR-directed-therapy",rucaparib,"BRCA1,BRCA2",altered,positive,115,PSA PFS,months,6.5,5.9-7.8,95,Figure S6,31.5
11781739,139,tom,single,mCRPC,"prior-taxane,prior-AR-directed-therapy",rucaparib,"BRCA1,!BRCA2",altered,positive,13,PSA PFS,months,4.2,2.8-5.6,95,Figure S9,31.5
11781739,139,tom,single,mCRPC,"prior-taxane,prior-AR-directed-therapy",rucaparib,"BRCA2,!BRCA1",altered,positive,102,PSA PFS,months,7.4,6.4-8.2,95,Figure S9,31.5
11781739,139,tom,single,mCRPC,"prior-taxane,prior-AR-directed-therapy",rucaparib,"BRCA1,!BRCA2",altered,positive,13,rPFS,months,8.7,1.8-10.7,95,Figure S10,31.5
11781739,139,tom,single,mCRPC,"prior-taxane,prior-AR-directed-therapy",rucaparib,"BRCA2,!BRCA1",altered,positive,102,rPFS,months,9.7,8.3-14.0,95,Figure S10,31.5
11781740,139,tom,single_arm,mCRPC,"prior-taxane,prior-AR-directed-therapy",talazoparib,"BRCA1,BRCA2",altered,positive,46,rPFS,months,9.3,8.1-13.7,95,only table,34
11781740,139,tom,single_arm,mCRPC,"prior-taxane,prior-AR-directed-therapy",talazoparib,PALB2,altered,positive,4,rPFS,months,7.4,2-7.4,95,only table,34
11781740,139,tom,single_arm,mCRPC,"prior-taxane,prior-AR-directed-therapy",talazoparib,ATM,altered,positive,18,rPFS,months,5.5,1.7-8.2,95,only table,34
11781740,139,tom,single_arm,mCRPC,"prior-taxane,prior-AR-directed-therapy",talazoparib,"CHEK2,FANCA,MLH1,MRE11A,NBN,PALB2,RAD51C,ATR",altered,positive,18,rPFS,months,3.7,1.7-3.9,95,only table,34
11781741,139,tom,B,mcrpc,prior-docetaxel,AAP + placebo,none specified,NA,NA,71,OS,months,20.9,17.6-26.3,95,page 981,30
11781741,139,tom,A,mcrpc,prior-docetaxel,AAP + olaparib,none specified,NA,NA,71,OS,months,22.7,17.4-29.4,95,page 981,30
11781741,139,tom,A,mcrpc,prior-docetaxel,AAP + olaparib,none specified,NA,NA,71,rPFS,months,13.8,10.8-20.4,95,page 975,30
11781741,139,tom,A,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",altered,negative,15,rPFS,months,15,5.4-NR,95,page 981,30
11781741,139,tom,B,mcrpc,prior-docetaxel,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",altered,unknown,41,rPFS,months,6.4,5.3-8.2,95,page 981,30
11781741,139,tom,B,mcrpc,prior-docetaxel,AAP + placebo,none specified,NA,NA,71,rPFS,months,8.2,5.5-9.7,95,page 975,30
11781741,139,tom,A,mcrpc,prior-docetaxel,AAP + olaparib,none specified,NA,NA,71,second aPFS,months,23.3,17.4-NR,95,page 981,30
11781741,139,tom,B,mcrpc,prior-docetaxel,AAP + placebo,none specified,NA,NA,71,second aPFS,months,18.5,16.1-23.8,95,page 981,30
11781741,139,tom,A,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",altered,positive,11,rPFS,months,17.8,2.9-27.6,95,page 981,30
11781741,139,tom,B,mcrpc,prior-docetaxel,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",altered,negative,20,rPFS,months,9.7,2.9-17.5,95,page 981,30
11781741,139,tom,B,mcrpc,prior-docetaxel,AAP + placebo,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",altered,positive,10,rPFS,months,6.5,2.7-NR,95,page 981,30
11781741,139,tom,A,mcrpc,prior-docetaxel,AAP + olaparib,"ATM,BARD1,BRCA1,BRCA2,BRIP1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",altered,unknown,45,rPFS,months,13.1,8.1-22.4,95,page 981,30
11781742,139,tom,A+B,mcrpc,prior-adt,AAP or AAP + veliparib,PTEN,altered,positive,34,aPFS,months,6.7,4.1-11.3,95,Table A5,45
