Article ID,Article URL,Title,Journal,Authors,Abstract,predict(84239:Include)
11100892,https://sysrev.com/p/70431/article/11100892,Circulating Tumor DNA Genomics Correlate with Resistance to Abiraterone and Enzalutamide in Prostate Cancer.,Cancer discovery,"Annala, M.; Vandekerkhove, G.; Khalaf, D.; Taavitsainen, S.; Beja, K.; Warner, EW.; Sunderland, K.; Kollmannsberger, C.; Eigl, BJ.; Finch, D.; Oja, CD.; Vergidis, J.; Zulfiqar, M.; Azad, AA.; Nykter, M.; Gleave, ME.; Wyatt, AW.; Chi, KN.","Primary resistance to androgen receptor (AR)-directed therapies in metastatic castration-resistant prostate cancer (mCRPC) is poorly understood. We randomized 202 patients with treatment-naïve mCRPC to abiraterone or enzalutamide and performed whole-exome and deep targeted 72-gene sequencing of plasma cell-free DNA prior to therapy. For these agents, which have never been directly compared, time to progression was similar. Defects in<i>BRCA2</i>and<i>ATM</i>were strongly associated with poor clinical outcomes independently of clinical prognostic factors and circulating tumor DNA abundance. Somatic alterations in<i>TP53</i>, previously linked to reduced tumor dependency on AR signaling, were also independently associated with rapid resistance. Although detection of<i>AR</i>amplifications did not outperform standard prognostic biomarkers,<i>AR</i>gene structural rearrangements truncating the ligand binding domain were identified in several patients with primary resistance. These findings establish genomic drivers of resistance to first-line AR-directed therapy in mCRPC and identify potential minimally invasive biomarkers.<b>Significance:</b>Leveraging plasma specimens collected in a large randomized phase II trial, we report the relative impact of common circulating tumor DNA alterations on patient response to the most widely used therapies for advanced prostate cancer. Our findings suggest that liquid biopsy analysis can guide the use of AR-targeted therapy in general practice.<i>Cancer Discov; 8(4); 444-57. ©2018 AACR.</i><i>See related commentary by Jayaram et al., p. 392</i><i>This article is highlighted in the In This Issue feature, p. 371</i>.",0.132
11100893,https://sysrev.com/p/70431/article/11100893,Phase I study of continuous and intermittent schedules of lapatinib in combination with vinorelbine in solid tumors.,Annals of oncology : official journal of the European Society for Medical Oncology,"Chew, HK.; Somlo, G.; Mack, PC.; Gitlitz, B.; Gandour-Edwards, R.; Christensen, S.; Linden, H.; Solis, LJ.; Yang, X.; Davies, AM.","BACKGROUND: Chemotherapy in combination with small-molecule epidermal growth factor receptor inhibitors has yielded inconsistent results. Based on preclinical models, we conducted a phase I trial of two schedules of lapatinib and vinorelbine.

PATIENT AND METHODS: Patients had advanced solid tumors and up to two prior chemotherapeutic regimens. Patients were enrolled on two dose-escalating schedules of lapatinib, continuous (arm A) or intermittent (arm B), with vinorelbine on days 1, 8, and 15 of a 28-day cycle. Tumors from a subset of patients were evaluated for gene mutations and expression of targets of interest.

RESULTS: Fifty-one patients were treated. The most common grade 3/4 toxic effects included leukopenia, neutropenia, and fatigue. Dose-limiting toxic effects were grade 3 infection, febrile neutropenia, and diarrhea (arm A) and bone pain and fatigue (arm B). The maximum tolerated dose was vinorelbine 20 mg/m(2) weekly and lapatinib 1500 mg daily (arm A) and vinorelbine 25 mg/m(2) weekly and lapatinib 1500 mg intermittently (arm B). One patient on each arm had a complete response; both had human epidermal growth factor receptor 2-positive breast cancer. In a subset of patients, lack of tumor PTEN expression correlated with a shorter time to progression.

CONCLUSION: In an unselected population, two schedules of lapatinib and vinorelbine were feasible and well tolerated.",0.600
11100894,https://sysrev.com/p/70431/article/11100894,A 2-stage genome-wide association study to identify single nucleotide polymorphisms associated with development of erectile dysfunction following radiation therapy for prostate cancer.,"International journal of radiation oncology, biology, physics","Kerns, SL.; Stock, R.; Stone, N.; Buckstein, M.; Shao, Y.; Campbell, C.; Rath, L.; De Ruysscher, D.; Lammering, G.; Hixson, R.; Cesaretti, J.; Terk, M.; Ostrer, H.; Rosenstein, BS.","PURPOSE: To identify single nucleotide polymorphisms (SNPs) associated with development of erectile dysfunction (ED) among prostate cancer patients treated with radiation therapy.

METHODS AND MATERIALS: A 2-stage genome-wide association study was performed. Patients were split randomly into a stage I discovery cohort (132 cases, 103 controls) and a stage II replication cohort (128 cases, 102 controls). The discovery cohort was genotyped using Affymetrix 6.0 genome-wide arrays. The 940 top ranking SNPs selected from the discovery cohort were genotyped in the replication cohort using Illumina iSelect custom SNP arrays.

RESULTS: Twelve SNPs identified in the discovery cohort and validated in the replication cohort were associated with development of ED following radiation therapy (Fisher combined P values 2.1×10(-5) to 6.2×10(-4)). Notably, these 12 SNPs lie in or near genes involved in erectile function or other normal cellular functions (adhesion and signaling) rather than DNA damage repair. In a multivariable model including nongenetic risk factors, the odds ratios for these SNPs ranged from 1.6 to 5.6 in the pooled cohort. There was a striking relationship between the cumulative number of SNP risk alleles an individual possessed and ED status (Sommers' D P value=1.7×10(-29)). A 1-allele increase in cumulative SNP score increased the odds for developing ED by a factor of 2.2 (P value=2.1×10(-19)). The cumulative SNP score model had a sensitivity of 84% and specificity of 75% for prediction of developing ED at the radiation therapy planning stage.

CONCLUSIONS: This genome-wide association study identified a set of SNPs that are associated with development of ED following radiation therapy. These candidate genetic predictors warrant more definitive validation in an independent cohort.",0.230
11100895,https://sysrev.com/p/70431/article/11100895,TMPRSS2-ERG status in circulating tumor cells as a predictive biomarker of sensitivity in castration-resistant prostate cancer patients treated with abiraterone acetate.,European urology,"Danila, DC.; Anand, A.; Sung, CC.; Heller, G.; Leversha, MA.; Cao, L.; Lilja, H.; Molina, A.; Sawyers, CL.; Fleisher, M.; Scher, HI.","BACKGROUND: Abiraterone acetate (AA) is an androgen biosynthesis inhibitor shown to prolong life in patients with castration-resistant prostate cancer (CRPC) already treated with chemotherapy. AA treatment results in dramatic declines in prostate-specific antigen (PSA) in some patients and no declines in others, suggesting the presence of molecular determinants of sensitivity in tumors.

OBJECTIVE: To study the role of transmembrane protease, serine 2 (TMPRSS2)-v-ets erythroblastosis virus E26 oncogene homolog (ERG) fusion, an androgen-dependent growth factor, in circulating tumor cells (CTCs) as a biomarker of sensitivity to AA.

DESIGN, SETTING, AND PARTICIPANTS: The predictive value of TMPRSS2-ERG status was studied in 41 of 48 men with postchemotherapy-treated CRPC enrolled in sequential phase 2 AA trials.

INTERVENTION: Patients received AA 1000 mg daily and continuously.

MEASUREMENTS: TMPRSS2-ERG status was characterized by a sensitive, analytically valid reverse transcription polymerase chain reaction assay in CTCs enriched from ethylene-diaminetetraacetic acid anticoagulated blood obtained prior to AA treatment. Outcomes were measured by PSA Working Group 1 criteria.

RESULTS AND LIMITATIONS: Standard procedures for specimen acquisition, processing, and testing using the validated TMPRSS2-ERG assay on a multiplex platform gave intra-assay and interassay coefficients of variation <7%. TMPRSS2-ERG fusion was present in 15 of 41 patients (37%), who had a median baseline CTC count of 17 (interquartile range: 7-103 cells per 7.5 ml). A PSA decline ≥50% was observed in 7 of 15 patients (47%) with the fusion and in 10 of 26 patients (38%) without the fusion. Although limited by the low number of patients, a posttherapy CTC count of less than five per 7.5 ml was prognostic for longer survival relative to a CTC count five or more. TMPRSS2-ERG status did not predict a decline in PSA or other clinical outcomes.

CONCLUSIONS: Molecular profiles of CTCs with an analytically valid assay identified the presence of the prostate cancer-specific TMPRSS2-ERG fusion but did not predict for response to AA treatment. This finding demonstrates the role of CTCs as surrogate tissue that can be obtained in a routine practice setting.

TRIAL REGISTRATION: ClinicalTrials.gov: NCT00474383 (COU-AA-003), NCT00485303 (COU-AA-004).",0.227
11100896,https://sysrev.com/p/70431/article/11100896,Independent validation of genes and polymorphisms reported to be associated with radiation toxicity: a prospective analysis study.,The Lancet. Oncology,"Barnett, GC.; Coles, CE.; Elliott, RM.; Baynes, C.; Luccarini, C.; Conroy, D.; Wilkinson, JS.; Tyrer, J.; Misra, V.; Platte, R.; Gulliford, SL.; Sydes, MR.; Hall, E.; Bentzen, SM.; Dearnaley, DP.; Burnet, NG.; Pharoah, PD.; Dunning, AM.; West, CM.","BACKGROUND: Several studies have reported associations between radiation toxicity and single nucleotide polymorphisms (SNPs) in candidate genes. Few associations have been tested in independent validation studies. This prospective study aimed to validate reported associations between genotype and radiation toxicity in a large independent dataset.

METHODS: 92 (of 98 attempted) SNPs in 46 genes were successfully genotyped in 1613 patients: 976 received adjuvant breast radiotherapy in the Cambridge breast IMRT trial (ISRCTN21474421, n=942) or in a prospective study of breast toxicity at the Christie Hospital, Manchester, UK (n=34). A further 637 received radical prostate radiotherapy in the MRC RT01 multicentre trial (ISRCTN47772397, n=224) or in the Conventional or Hypofractionated High Dose Intensity Modulated Radiotherapy for Prostate Cancer (CHHiP) trial (ISRCTN97182923, n=413). Late toxicity was assessed 2 years after radiotherapy with a validated photographic technique (patients with breast cancer only), clinical assessment, and patient questionnaires. Association tests of genotype with overall radiation toxicity score and individual endpoints were undertaken in univariate and multivariable analyses. At a type I error rate adjusted for multiple testing, this study had 99% power to detect a SNP, with minor allele frequency of 0·35, associated with a per allele odds ratio of 2·2.

FINDINGS: None of the previously reported associations were confirmed by this study, after adjustment for multiple comparisons. The p value distribution of the SNPs tested against overall toxicity score was not different from that expected by chance.

INTERPRETATION: We did not replicate previously reported late toxicity associations, suggesting that we can essentially exclude the hypothesis that published SNPs individually exert a clinically relevant effect. Continued recruitment of patients into studies within the Radiogenomics Consortium is essential so that sufficiently powered studies can be done and methodological challenges addressed.

FUNDING: Cancer Research UK, The Royal College of Radiologists, Addenbrooke's Charitable Trust, Breast Cancer Campaign, Cambridge National Institute of Health Research (NIHR) Biomedical Research Centre, Experimental Cancer Medicine Centre, East Midlands Innovation, the National Cancer Institute, Joseph Mitchell Trust, Royal Marsden NHS Foundation Trust, Institute of Cancer Research NIHR Biomedical Research Centre for Cancer.",0.308
11100897,https://sysrev.com/p/70431/article/11100897,"Allelic loss of the loci containing the androgen synthesis gene, StAR, is prognostic for relapse in intermediate-risk prostate cancer.",The Prostate,"Locke, JA.; Zafarana, G.; Malloff, CA.; Lam, WL.; Sykes, J.; Pintilie, M.; Ramnarine, VR.; Meng, A.; Ahmed, O.; Jurisica, I.; Guns, ET.; van der Kwast, T.; Milosevic, M.; Bristow, RG.","BACKGROUND: Androgen deprivation therapy (ADT) and novel agents targeting the androgen synthesis axis (e.g., abiraterone acetate) are adjuvant therapies that are currently, or may in the future be, combined with radiotherapy to reduce the chance of disease relapse. Little is known about allelic loss or gain pertaining to genes associated with the androgen synthesis axis and whether this is prognostic in patients who receive localized radiotherapy. In this hypothesis generating study, we conducted an array comparative genomic hybridization (aCGH) analysis of 33 androgen synthesis genes to identify potential prognostic factors for radiotherapy outcome.

METHODS: aCGH analysis of tumor DNA prospectively derived from frozen needle biopsies of 126 men with intermediate-risk disease who underwent image-guided radiotherapy (IGRT) to a mean dose of 76.4 Gy was conducted. Statistical analyses were conducted for allelic loss or gain in genes as potential prognostic factors relative to prostate specific antigen, Gleason-score, and T-category.

RESULTS: We observed that allelic losses of loci containing the genes StAR and HSD17B2 were associated with increased genetic instability (as determined by percentage genome alteration). On multivariate analyses these loci were prognostic for biochemical disease-free relapse (StAR: HR = 2.84, 95% CI: 1.44-5.61, P = 0.00269; HSD17B2: HR = 1.97, 95% CI: 1.06-3.64, P = 0.031). The results were validated in a surgical cohort of 131 intermediate-risk patients.

CONCLUSIONS: Allelic losses of the loci containing StAR and HSD17B2 have significant prognostic value for intermediate-risk prostate cancer. With this hypothesis generating information future studies should test StAR and HSD17B2 losses as biomarkers of androgen response in combined modality protocols.",0.312
11100898,https://sysrev.com/p/70431/article/11100898,A pharmacogenetic study of docetaxel and thalidomide in patients with castration-resistant prostate cancer using the DMET genotyping platform.,The pharmacogenomics journal,"Deeken, JF.; Cormier, T.; Price, DK.; Sissung, TM.; Steinberg, SM.; Tran, K.; Liewehr, DJ.; Dahut, WL.; Miao, X.; Figg, WD.","The anticancer agent docetaxel shows significant inter-individual variation in its pharmacokinetic and toxicity profile. Thalidomide is an active anticancer agent and also shows wide pharmacological variation. Past pharmacogenetic research has not explained this variation. Patients with prostate cancer enrolled in a randomized phase II trial using docetaxel and thalidomide versus docetaxel alone were genotyped using the Affymetrix DMET 1.0 platform, which tests for 1256 genetic variations in 170 drug disposition genes. Genetic polymorphisms were analyzed for associations with clinical response and toxicity. In all, 10 single-nucleotide polymorphisms (SNPs) in three genes were potentially associated with response to therapy: peroxisome proliferator-activated receptor-delta (PPAR-delta), sulfotransferase family, cytosolic, 1C, member 2 (SULT1C2) and carbohydrate (chondroitin 6) sulfotransferase 3 (CHST3). In addition, 11 SNPs in eight genes were associated with toxicities to treatment: spastic paraplegia 7 (pure and complicated autosomal recessive) (SPG7), CHST3, cytochrome P450, family 2, subfamily D, polypeptide 6 (CYP2D6), N-acetyltransferase 2 (arylamine N-acetyltransferase) (NAT2), ATP-binding cassette, sub-family C (CFTR/MRP), member 6 (ABCC6), ATPase, Cu++ transporting, alpha polypeptide (ATP7A), cytochrome P450, family 4, subfamily B, polypeptide 1 (CYP4B1) and solute carrier family 10 (sodium/bile acid cotransporter family), member 2 (SLC10A2). Genotyping results between drug metabolizing enzymes and transporters (DMET) and direct sequencing showed >96% of concordance. These findings highlight the role that non-CYP450 metabolizing enzymes and transporters may have in the pharmacology of docetaxel and thalidomide.",0.403
11100899,https://sysrev.com/p/70431/article/11100899,Pharmacogenetic associations of CYP2C19 genotype with in vivo metabolisms and pharmacological effects of thalidomide.,Cancer biology & therapy,"Ando, Y.; Price, DK.; Dahut, WL.; Cox, MC.; Reed, E.; Figg, WD.","Thalidomide requires cytochrome P450 (CYP)-catalyzed biotransformation for its antiangiogenic property, and CYP2C19 is responsible for 5-hydroxylation and 5'-hydroxylation of thalidomide in human. This study explored a hypothesis that patients with poor metabolizing phenotype of CYP2C19 receive little benefit from thalidomide treatment and that the poor metabolizer genotype is associated with lower ability to form the metabolites. A case-control study was conducted with 63 patients with prostate cancer who had been enrolled in a randomized phase II trial of thalidomide monotherapy (200 to 1,200 mg/day). CYP2C19 polymorphism (CYP2C19(*)2, CYP2C19(*)3, CYP2C19(*)4) was compared with clinical events (prostate-specific antigen (PSA) decline) and formations of the hydroxylated metabolites. Two patients were homozygous for the variant CYP2C19(*)2 allele (poor metabolizing phenotype). Both of these were included in the 25 patients whose PSA failed to demonstrate a decline. While 32% and 48% of the patients had quantifiable levels of 5-hydroxythalidomide and cis-5'-hydroxythalidomide, respectively, these metabolite were below quantification in both poor metabolizing patients. None had CYP2C19(*)3 or CYP2C19(*)4 alleles. Although this study had no power to detect the statistical significance of the CYP2C19 genotype, the findings were consistent with our hypothesis. The role of CYP2C19 polymorphism in thalidomide treatments remains to be elucidated.",0.196
11100900,https://sysrev.com/p/70431/article/11100900,Inhibition of poly(ADP-ribose) polymerase in tumors from BRCA mutation carriers.,The New England journal of medicine,"Fong, PC.; Boss, DS.; Yap, TA.; Tutt, A.; Wu, P.; Mergui-Roelvink, M.; Mortimer, P.; Swaisland, H.; Lau, A.; O'Connor, MJ.; Ashworth, A.; Carmichael, J.; Kaye, SB.; Schellens, JH.; de Bono, JS.","BACKGROUND: The inhibition of poly(adenosine diphosphate [ADP]-ribose) polymerase (PARP) is a potential synthetic lethal therapeutic strategy for the treatment of cancers with specific DNA-repair defects, including those arising in carriers of a BRCA1 or BRCA2 mutation. We conducted a clinical evaluation in humans of olaparib (AZD2281), a novel, potent, orally active PARP inhibitor.

METHODS: This was a phase 1 trial that included the analysis of pharmacokinetic and pharmacodynamic characteristics of olaparib. Selection was aimed at having a study population enriched in carriers of a BRCA1 or BRCA2 mutation.

RESULTS: We enrolled and treated 60 patients; 22 were carriers of a BRCA1 or BRCA2 mutation and 1 had a strong family history of BRCA-associated cancer but declined to undergo mutational testing. The olaparib dose and schedule were increased from 10 mg daily for 2 of every 3 weeks to 600 mg twice daily continuously. Reversible dose-limiting toxicity was seen in one of eight patients receiving 400 mg twice daily (grade 3 mood alteration and fatigue) and two of five patients receiving 600 mg twice daily (grade 4 thrombocytopenia and grade 3 somnolence). This led us to enroll another cohort, consisting only of carriers of a BRCA1 or BRCA2 mutation, to receive olaparib at a dose of 200 mg twice daily. Other adverse effects included mild gastrointestinal symptoms. There was no obvious increase in adverse effects seen in the mutation carriers. Pharmacokinetic data indicated rapid absorption and elimination; pharmacodynamic studies confirmed PARP inhibition in surrogate samples (of peripheral-blood mononuclear cells and plucked eyebrow-hair follicles) and tumor tissue. Objective antitumor activity was reported only in mutation carriers, all of whom had ovarian, breast, or prostate cancer and had received multiple treatment regimens.

CONCLUSIONS: Olaparib has few of the adverse effects of conventional chemotherapy, inhibits PARP, and has antitumor activity in cancer associated with the BRCA1 or BRCA2 mutation. (ClinicalTrials.gov number, NCT00516373.)",0.217
11100901,https://sysrev.com/p/70431/article/11100901,DNA as a prognostic marker in advanced high-grade prostatic cancer. A preliminary report. SPCG-I study.,"Acta oncologica (Stockholm, Sweden)","Hedlund, PO.; Esposti, P.; Falkmer, U.; Jacobsson, H.","This is a presentation of some preliminary data from SPCG-I, a multicenter study started in 1984 by the Scandinavian Prostatic Cancer Group. It is a randomized double-blind study comparing estramustine phosphate and diethylstilbestrol in the primary treatment of 195 patients with T1-4, NX, M1, G2-3 prostatic cancer. The code is not yet broken. This presentation describes the impact of the pretreatment parameters performance status, pain, tumor burden, grade and DNA-ploidy of the prostate tumor, on time to progression and overall survival. DNA studies have so far only been completed in 66 of the 195 patients. For the whole group of 195 patients, pain (p less than 0.004) and tumor grade (p less than 0.02) had the most significant impact on time to progression, and performance status (p less than 0.01) and grade (p less than 0.03) on overall survival. In the small group of 66 patients where the DNA pattern of the primary tumor was evaluated, no parameter had any significant correlation to time to progression and overall survival. This study is still continuing.",0.269
