Article ID,Article URL,Title,Journal,Authors,Abstract,predict(92968:Include)
11521649,https://sysrev.com/p/77566/article/11521649,Phase I study of continuous and intermittent schedules of lapatinib in combination with vinorelbine in solid tumors.,Annals of oncology : official journal of the European Society for Medical Oncology,"Chew, HK.; Somlo, G.; Mack, PC.; Gitlitz, B.; Gandour-Edwards, R.; Christensen, S.; Linden, H.; Solis, LJ.; Yang, X.; Davies, AM.","BACKGROUND: Chemotherapy in combination with small-molecule epidermal growth factor receptor inhibitors has yielded inconsistent results. Based on preclinical models, we conducted a phase I trial of two schedules of lapatinib and vinorelbine.

PATIENT AND METHODS: Patients had advanced solid tumors and up to two prior chemotherapeutic regimens. Patients were enrolled on two dose-escalating schedules of lapatinib, continuous (arm A) or intermittent (arm B), with vinorelbine on days 1, 8, and 15 of a 28-day cycle. Tumors from a subset of patients were evaluated for gene mutations and expression of targets of interest.

RESULTS: Fifty-one patients were treated. The most common grade 3/4 toxic effects included leukopenia, neutropenia, and fatigue. Dose-limiting toxic effects were grade 3 infection, febrile neutropenia, and diarrhea (arm A) and bone pain and fatigue (arm B). The maximum tolerated dose was vinorelbine 20 mg/m(2) weekly and lapatinib 1500 mg daily (arm A) and vinorelbine 25 mg/m(2) weekly and lapatinib 1500 mg intermittently (arm B). One patient on each arm had a complete response; both had human epidermal growth factor receptor 2-positive breast cancer. In a subset of patients, lack of tumor PTEN expression correlated with a shorter time to progression.

CONCLUSION: In an unselected population, two schedules of lapatinib and vinorelbine were feasible and well tolerated.",0.526
11521650,https://sysrev.com/p/77566/article/11521650,Androgen Receptor Variant AR-V9 Is Coexpressed with AR-V7 in Prostate Cancer Metastases and Predicts Abiraterone Resistance.,Clinical cancer research : an official journal of the American Association for Cancer Research,"Kohli, M.; Ho, Y.; Hillman, DW.; Van Etten, JL.; Henzler, C.; Yang, R.; Sperger, JM.; Li, Y.; Tseng, E.; Hon, T.; Clark, T.; Tan, W.; Carlson, RE.; Wang, L.; Sicotte, H.; Thai, H.; Jimenez, R.; Huang, H.; Vedell, PT.; Eckloff, BW.; Quevedo, JF.; Pitot, HC.; Costello, BA.; Jen, J.; Wieben, ED.; Silverstein, KAT.; Lang, JM.; Wang, L.; Dehm, SM.","<b>Purpose:</b>Androgen receptor (AR) variant AR-V7 is a ligand-independent transcription factor that promotes prostate cancer resistance to AR-targeted therapies. Accordingly, efforts are under way to develop strategies for monitoring and inhibiting AR-V7 in castration-resistant prostate cancer (CRPC). The purpose of this study was to understand whether other AR variants may be coexpressed with AR-V7 and promote resistance to AR-targeted therapies.<b>Experimental Design:</b>We utilized complementary short- and long-read sequencing of intact AR mRNA isoforms to characterize AR expression in CRPC models. Coexpression of AR-V7 and AR-V9 mRNA in CRPC metastases and circulating tumor cells was assessed by RNA-seq and RT-PCR, respectively. Expression of AR-V9 protein in CRPC models was evaluated with polyclonal antisera. Multivariate analysis was performed to test whether AR variant mRNA expression in metastatic tissues was associated with a 12-week progression-free survival endpoint in a prospective clinical trial of 78 CRPC-stage patients initiating therapy with the androgen synthesis inhibitor, abiraterone acetate.<b>Results:</b>AR-V9 was frequently coexpressed with AR-V7. Both AR variant species were found to share a common 3' terminal cryptic exon, which rendered AR-V9 susceptible to experimental manipulations that were previously thought to target AR-V7 uniquely. AR-V9 promoted ligand-independent growth of prostate cancer cells. High AR-V9 mRNA expression in CRPC metastases was predictive of primary resistance to abiraterone acetate (HR = 4.0; 95% confidence interval, 1.31-12.2;<i>P</i>= 0.02).<b>Conclusions:</b>AR-V9 may be an important component of therapeutic resistance in CRPC.<i>Clin Cancer Res; 23(16); 4704-15. ©2017 AACR</i>.",0.515
11521651,https://sysrev.com/p/77566/article/11521651,The poly(ADP-ribose) polymerase inhibitor niraparib (MK4827) in BRCA mutation carriers and patients with sporadic cancer: a phase 1 dose-escalation trial.,The Lancet. Oncology,"Sandhu, SK.; Schelman, WR.; Wilding, G.; Moreno, V.; Baird, RD.; Miranda, S.; Hylands, L.; Riisnaes, R.; Forster, M.; Omlin, A.; Kreischer, N.; Thway, K.; Gevensleben, H.; Sun, L.; Loughney, J.; Chatterjee, M.; Toniatti, C.; Carpenter, CL.; Iannone, R.; Kaye, SB.; de Bono, JS.; Wenham, RM.","BACKGROUND: Poly(ADP-ribose) polymerase (PARP) is implicated in DNA repair and transcription regulation. Niraparib (MK4827) is an oral potent, selective PARP-1 and PARP-2 inhibitor that induces synthetic lethality in preclinical tumour models with loss of BRCA and PTEN function. We investigated the safety, tolerability, maximum tolerated dose, pharmacokinetic and pharmacodynamic profiles, and preliminary antitumour activity of niraparib.

METHODS: In a phase 1 dose-escalation study, we enrolled patients with advanced solid tumours at one site in the UK and two sites in the USA. Eligible patients were aged at least 18 years; had a life expectancy of at least 12 weeks; had an Eastern Cooperative Oncology Group performance status of 2 or less; had assessable disease; were not suitable to receive any established treatments; had adequate organ function; and had discontinued any previous anticancer treatments at least 4 weeks previously. In part A, cohorts of three to six patients, enriched for BRCA1 and BRCA2 mutation carriers, received niraparib daily at ten escalating doses from 30 mg to 400 mg in a 21-day cycle to establish the maximum tolerated dose. Dose expansion at the maximum tolerated dose was pursued in 15 patients to confirm tolerability. In part B, we further investigated the maximum tolerated dose in patients with sporadic platinum-resistant high-grade serous ovarian cancer and sporadic prostate cancer. We obtained blood, circulating tumour cells, and optional paired tumour biopsies for pharmacokinetic and pharmacodynamic assessments. Toxic effects were assessed by common toxicity criteria and tumour responses ascribed by Response Evaluation Criteria in Solid Tumors (RECIST). Circulating tumour cells and archival tumour tissue in prostate patients were analysed for exploratory putative predictive biomarkers, such as loss of PTEN expression and ETS rearrangements. This trial is registered with ClinicalTrials.gov, NCT00749502.

FINDINGS: Between Sept 15, 2008, and Jan 14, 2011, we enrolled 100 patients: 60 in part A and 40 in part B. 300 mg/day was established as the maximum tolerated dose. Dose-limiting toxic effects reported in the first cycle were grade 3 fatigue (one patient given 30 mg/day), grade 3 pneumonitis (one given 60 mg/day), and grade 4 thrombocytopenia (two given 400 mg/day). Common treatment-related toxic effects were anaemia (48 patients [48%]), nausea (42 [42%]), fatigue (42 [42%]), thrombocytopenia (35 [35%]), anorexia (26 [26%]), neutropenia (24 [24%]), constipation (23 [23%]), and vomiting (20 [20%]), and were predominantly grade 1 or 2. Pharmacokinetics were dose proportional and the mean terminal elimination half-life was 36·4 h (range 32·8-46·0). Pharmacodynamic analyses confirmed PARP inhibition exceeded 50% at doses greater than 80 mg/day and antitumour activity was documented beyond doses of 60 mg/day. Eight (40% [95% CI 19-64]) of 20 BRCA1 or BRCA2 mutation carriers with ovarian cancer had RECIST partial responses, as did two (50% [7-93]) of four mutation carriers with breast cancer. Antitumour activity was also reported in sporadic high-grade serous ovarian cancer, non-small-cell lung cancer, and prostate cancer. We recorded no correlation between loss of PTEN expression or ETS rearrangements and measures of antitumour activity in patients with prostate cancer.

INTERPRETATION: A recommended phase 2 dose of 300 mg/day niraparib is well tolerated. Niraparib should be further assessed in inherited and sporadic cancers with homologous recombination DNA repair defects and to target PARP-mediated transcription in cancer.

FUNDING: Merck Sharp and Dohme.",0.523
11521652,https://sysrev.com/p/77566/article/11521652,Nivolumab Is Effective in Mismatch Repair-Deficient Noncolorectal Cancers: Results From Arm Z1D-A Subprotocol of the NCI-MATCH (EAY131) Study.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"Azad, NS.; Gray, RJ.; Overman, MJ.; Schoenfeld, JD.; Mitchell, EP.; Zwiebel, JA.; Sharon, E.; Streicher, H.; Li, S.; McShane, LM.; Rubinstein, L.; Patton, DR.; Williams, PM.; Coffey, B.; Hamilton, SR.; Bahary, N.; Suga, JM.; Hatoum, H.; Abrams, JS.; Conley, BA.; Arteaga, CL.; Harris, L.; O'Dwyer, PJ.; Chen, AP.; Flaherty, KT.","PURPOSE: The National Cancer Institute Molecular Analysis for Therapy Choice (NCI-MATCH) trial, the largest national precision oncology study to date (> 1,100 sites) of patients with relapsed or refractory malignancies, assigned patients to targeted therapy in parallel phase II studies based on tumor molecular alterations. The anti-programmed death receptor 1 inhibitor nivolumab previously showed activity in mismatch repair (MMR)-deficient colon cancer. We hypothesized that nivolumab would have activity in patients with MMR-deficient, noncolorectal tumors.

PATIENTS AND METHODS: Eligible patients with relapsed or refractory tumors, good end-organ function, and Eastern Cooperative Oncology Group performance status of ≤ 1 underwent tumor biopsy for centralized screening of molecular alterations. MMR deficiency was defined by complete loss of nuclear expression of<i>MLH1</i>or<i>MSH2</i>MMR gene products by immunohistochemistry (IHC). Patients with MMR-deficient colorectal cancer were excluded. Nivolumab, 3 mg/kg every 2 weeks (28-day cycles) and 480 mg every 4 weeks after cycle 4, was administered intravenously. Disease reassessment was performed every 2 cycles. The primary end point was RECIST 1.1 objective response rate (ORR).

RESULTS: Two percent of 4,902 screened patients had an MMR-deficient cancer by IHC. Forty-two evaluable patients were enrolled, with a median age of 60 years and a median of 3 prior therapies. The most common histologies were endometrioid endometrial adenocarcinoma (n = 13), prostate adenocarcinoma (n = 5), and uterine carcinosarcoma (n = 4). ORR was 36% (15 of 42 patients). An additional 21% of patients had stable disease. The estimated 6-, 12-, and 18-month progression-free survival rates were 51.3% (90% CI, 38.2% to 64.5%), 46.2% (90% CI, 33.1% to 59.3%), and 31.4% (90% CI, 18.7% to 44.2%), respectively. Median overall survival was 17.3 months. Toxicity was predominantly low grade.

CONCLUSION: A variety of refractory cancers (2.0% of those screened) had MMR deficiency as defined in NCI-MATCH. Nivolumab has promising activity in MMR-deficient noncolorectal cancers of a wide variety of histopathologic types.",0.523
11521653,https://sysrev.com/p/77566/article/11521653,Stereotactic ablative radiotherapy for the comprehensive treatment of 4-10 oligometastatic tumors (SABR-COMET-10): study protocol for a randomized phase III trial.,BMC cancer,"Palma, DA.; Olson, R.; Harrow, S.; Correa, RJM.; Schneiders, F.; Haasbeek, CJA.; Rodrigues, GB.; Lock, M.; Yaremko, BP.; Bauman, GS.; Ahmad, B.; Schellenberg, D.; Liu, M.; Gaede, S.; Laba, J.; Mulroy, L.; Senthi, S.; Louie, AV.; Swaminath, A.; Chalmers, A.; Warner, A.; Slotman, BJ.; de Gruijl, TD.; Allan, A.; Senan, S.","BACKGROUND: Stereotactic ablative radiotherapy (SABR) has emerged as a new treatment option for patients with oligometastatic disease. SABR delivers precise, high-dose, hypofractionated radiotherapy, and achieves excellent rates of local control for primary tumors or metastases. A recent randomized phase II trial evaluated SABR in a group of patients with a small burden of oligometastatic disease (mostly with 1-3 metastatic lesions), and found that SABR was associated with benefits in progression-free survival and overall survival. The goal of this phase III trial is to assess the impact of SABR in patients with 4-10 metastatic cancer lesions.

METHODS: One hundred and fifty-nine patients will be randomized in a 1:2 ratio between the control arm (consisting of standard of care palliative-intent treatments), and the SABR arm (consisting of standard of care treatment + SABR to all sites of known disease). Randomization will be stratified by two factors: histology (Group 1: prostate, breast, or renal; Group 2: all others), and type of pre-specified systemic therapy (Group 1: immunotherapy/targeted; Group 2: cytotoxic; Group 3: observation). SABR is to be completed within 2 weeks, allowing for rapid initiation of systemic therapy. Recommended SABR doses are 20 Gy in 1 fraction, 30 Gy in 3 fractions, or 35 Gy in 5 fractions, chosen to minimize risks of toxicity. The primary endpoint is overall survival, and secondary endpoints include progression-free survival, time to development of new metastatic lesions, quality of life, and toxicity. Translational endpoints include assessment of circulating tumor cells, cell-free DNA, and tumor tissue as prognostic and predictive markers, including assessment of immunological predictors of response and long-term survival.

DISCUSSION: This study will provide an assessment of the impact of SABR on clinical outcomes and quality of life, to determine if long-term survival can be achieved for selected patients with 4-10 oligometastatic lesions.

TRIAL REGISTRATION: Clinicaltrials.gov identifier: NCT03721341 . Date of registration: October 26, 2018.",0.526
11521654,https://sysrev.com/p/77566/article/11521654,"Lack of association of transforming growth factor-beta1 polymorphisms and haplotypes with prostate cancer risk in the prostate, lung, colorectal, and ovarian trial.","Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology","Kang, D.; Lee, KM.; Park, SK.; Berndt, SI.; Reding, D.; Chatterjee, N.; Welch, R.; Chanock, S.; Huang, WY.; Hayes, RB.",,0.529
11521655,https://sysrev.com/p/77566/article/11521655,A phase II study of the HDAC inhibitor SB939 in patients with castration resistant prostate cancer: NCIC clinical trials group study IND195.,Investigational new drugs,"Eigl, BJ.; North, S.; Winquist, E.; Finch, D.; Wood, L.; Sridhar, SS.; Powers, J.; Good, J.; Sharma, M.; Squire, JA.; Bazov, J.; Jamaspishvili, T.; Cox, ME.; Bradbury, PA.; Eisenhauer, EA.; Chi, KN.","BACKGROUND: SB939 is a potent oral inhibitor of class 1, 2, and 4 histone deacetylases (HDACs). These three HDAC classes are highly expressed in castration resistant prostate cancer (CRPC) and associated with poor clinical outcomes. We designed a phase II study of SB939 in men with metastatic CRPC.

METHODS: Patients received SB939 60 mg on alternate days three times per week for 3 weeks on a 4-week cycle. Primary endpoints were PSA response rate (RR) and progression-free survival (PFS). Secondary endpoints included objective response rate and duration; overall survival; circulating tumor cell (CTC) enumeration and safety. Exploratory correlative studies of the TMPRSS2-ERG fusion and PTEN biomarkers were also performed.

RESULTS: Thirty-two patients were enrolled of whom 88 % had received no prior chemotherapy. The median number of SB939 cycles administered was three (range 1-8). Adverse events were generally grade 1-2, with five pts experiencing one or more grade three event. One patient died due to myocardial infarction. A confirmed PSA response was noted in two pts (6 %), lasting 3.0 and 21.6 months. In patients with measurable disease there were no objective responses. Six patients had stable disease lasting 1.7 to 8.0 months. CTC response (from ≥5 at baseline to <5 at 6 or 12 weeks) occurred in 9/14 evaluable patients (64 %).

CONCLUSION: Although SB939 was tolerable at the dose/schedule given, and showed declines in CTC in the majority of evaluable patients, it did not show sufficient activity based on PSA RR to warrant further study as a single agent in unselected patients with CRPC.",0.525
11521656,https://sysrev.com/p/77566/article/11521656,A pilot study in prostate cancer patients treated with the AE37 Ii-key-HER-2/neu polypeptide vaccine suggests that HLA-A*24 and HLA-DRB1*11 alleles may be prognostic and predictive biomarkers for clinical benefit.,"Cancer immunology, immunotherapy : CII","Anastasopoulou, EA.; Voutsas, IF.; Keramitsoglou, T.; Gouttefangeas, C.; Kalbacher, H.; Thanos, A.; Papamichail, M.; Perez, SA.; Baxevanis, CN.","Recently, several types of immunotherapies have been shown to induce encouraging clinical results, though in a restricted number of patients. Consequently, there is a need to identify immune biomarkers to select patients who will benefit from such therapies. Such predictive biomarkers may be also used as surrogates for overall survival (OS). We have recently found correlations between immunologic parameters and clinical outcome in prostate cancer patients who had been vaccinated with a HER-2/neu hybrid polypeptide vaccine (AE37) and received one booster 6 months post-primary vaccinations. Herein, we aimed to expand these retrospective analyses by studying the predictive impact of HLA-A*24 and HLA-DRB1*11 alleles, which are expressed at high frequencies among responders in our vaccinated patients, for clinical and immunological responses to AE37 vaccination. Our data show an increased OS of patients expressing the HLA-DRB1*11 or HLA-A*24 alleles, or both. Vaccine-induced immunological responses, measured as interferon γ (IFN-γ) responses in vitro or delayed-type hypersensitivity reactions in vivo, were also higher in these patients and inversely correlated with suppressor elements. Preexisting (i.e., before vaccinations with AE37) levels of vaccine-specific IFN-γ immunity and plasma TGF-β, among the HLA-A*24 and/or HLA-DRB1*11 positive patients, were strong indicators for immunological responses to AE37 treatment. These data suggest that HLA-DRB1*11 and HLA-A*24 are likely to be predictive factors for immunological and clinical responses to vaccination with AE37, though prospective validation in larger cohorts is needed.",0.520
11521657,https://sysrev.com/p/77566/article/11521657,A Phase II Trial of the Aurora Kinase A Inhibitor Alisertib for Patients with Castration-resistant and Neuroendocrine Prostate Cancer: Efficacy and Biomarkers.,Clinical cancer research : an official journal of the American Association for Cancer Research,"Beltran, H.; Oromendia, C.; Danila, DC.; Montgomery, B.; Hoimes, C.; Szmulewitz, RZ.; Vaishampayan, U.; Armstrong, AJ.; Stein, M.; Pinski, J.; Mosquera, JM.; Sailer, V.; Bareja, R.; Romanel, A.; Gumpeni, N.; Sboner, A.; Dardenne, E.; Puca, L.; Prandi, D.; Rubin, MA.; Scher, HI.; Rickman, DS.; Demichelis, F.; Nanus, DM.; Ballman, KV.; Tagawa, ST.","PURPOSE: Neuroendocrine prostate cancer (NEPC) is an aggressive variant of prostate cancer that may develop<i>de novo</i>or as a mechanism of treatment resistance. N-myc is capable of driving NEPC progression. Alisertib inhibits the interaction between N-myc and its stabilizing factor Aurora-A, inhibiting N-myc signaling, and suppressing tumor growth.

PATIENTS AND METHODS: Sixty men were treated with alisertib 50 mg twice daily for 7 days every 21 days. Eligibility included metastatic prostate cancer and at least one: small-cell neuroendocrine morphology; ≥50% neuroendocrine marker expression; new liver metastases without PSA progression; or elevated serum neuroendocrine markers. The primary endpoint was 6-month radiographic progression-free survival (rPFS). Pretreatment biopsies were evaluated by whole exome and RNA-seq and patient-derived organoids were developed.

RESULTS: Median PSA was 1.13 ng/mL (0.01-514.2), number of prior therapies was 3, and 68% had visceral metastases. Genomic alterations involved<i>RB1</i>(55%),<i>TP53</i>(46%),<i>PTEN</i>(29%),<i>BRCA2</i>(29%), and<i>AR</i>(27%), and there was a range of androgen receptor signaling and NEPC marker expression. Six-month rPFS was 13.4% and median overall survival was 9.5 months (7.3-13). Exceptional responders were identified, including complete resolution of liver metastases and prolonged stable disease, with tumors suggestive of N-myc and Aurora-A overactivity. Patient organoids exhibited concordant responses to alisertib and allowed for the dynamic testing of Aurora-N-myc complex disruption.

CONCLUSIONS: Although the study did not meet its primary endpoint, a subset of patients with advanced prostate cancer and molecular features supporting Aurora-A and N-myc activation achieved significant clinical benefit from single-agent alisertib.",0.524
11521658,https://sysrev.com/p/77566/article/11521658,Insulin resistance-related gene polymorphisms and risk of prostate cancer.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology","Moore, SC.; Leitzmann, MF.; Weinstein, SJ.; Snyder, K.; Albanes, D.; Virtamo, J.; Graubard, BI.; Mayne, ST.; Yu, H.; Peters, U.; Gunter, MJ.",,0.524
